Dependency metrics,quinta, 2 dez 2021 12:06:03 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
"org.jabref.gui.customentrytypes.EntryTypeViewModel",0,3,29,3,1 123,3,1
"org.jabref.gui.customentrytypes.FieldViewModel",0,3,12,3,1 124,2,1
"org.jabref.gui.desktop.JabRefDesktop",784,25,1 333,22,1 121,12,14
"org.jabref.gui.desktop.os.DefaultDesktop",0,1,1,1,1 122,1,1
"org.jabref.gui.desktop.os.Linux",784,6,1 333,1,1 121,4,1
"org.jabref.gui.desktop.os.OSX",784,3,1 333,1,1 121,2,1
"org.jabref.gui.desktop.os.Windows",784,3,1 333,1,1 121,2,1
"org.jabref.gui.dialogs.AutosaveUiManager",784,5,1 333,3,1 121,3,2
"org.jabref.gui.dialogs.BackupUIManager",784,4,1 333,2,1 121,4,2
"org.jabref.gui.documentviewer.DocumentPageViewModel",0,0,0,5,1 126,0,1
"org.jabref.gui.documentviewer.DocumentViewModel",0,1,1,4,1 124,1,1
"org.jabref.gui.documentviewer.DocumentViewerControl",784,5,1 333,2,1 121,2,1
"org.jabref.gui.documentviewer.DocumentViewerControl.DocumentViewerPage",784,5,1 333,1,1 121,2,1
"org.jabref.gui.documentviewer.DocumentViewerView",784,11,1 333,2,1 121,6,2
"org.jabref.gui.documentviewer.DocumentViewerViewModel",784,8,1 333,1,1 121,5,1
"org.jabref.gui.documentviewer.PageDimension",2,2,2,4,1 124,1,1
"org.jabref.gui.documentviewer.PageDimension.FixedHeightPageDimension",2,1,2,1,1 124,1,1
"org.jabref.gui.documentviewer.PageDimension.FixedWidthPageDimension",2,1,2,1,1 124,1,1
"org.jabref.gui.documentviewer.PdfDocumentPageViewModel",0,1,1,1,1 124,1,1
"org.jabref.gui.documentviewer.PdfDocumentViewModel",0,3,3,2,1 123,1,1
"org.jabref.gui.documentviewer.ShowDocumentViewerAction",784,6,1 333,1,1 121,4,1
"org.jabref.gui.duplicationFinder.DuplicateResolverDialog",784,11,1 333,3,1 121,9,3
"org.jabref.gui.duplicationFinder.DuplicateResolverDialog.DuplicateResolverResult",0,0,0,4,1 122,0,3
"org.jabref.gui.duplicationFinder.DuplicateResolverDialog.DuplicateResolverType",0,0,0,4,1 122,0,3
"org.jabref.gui.duplicationFinder.DuplicateSearch",784,24,1 333,1,1 121,9,1
"org.jabref.gui.duplicationFinder.DuplicateSearch.DuplicateSearchResult",784,1,1 333,1,1 121,1,1
"org.jabref.gui.edit.CopyDoiUrlAction",784,8,1 333,1,1 121,4,1
"org.jabref.gui.edit.CopyMoreAction",784,18,1 333,3,1 121,10,3
"org.jabref.gui.edit.EditAction",784,6,1 333,3,1 121,2,2
"org.jabref.gui.edit.ManageKeywordsAction",784,7,1 333,1,1 121,5,1
"org.jabref.gui.edit.ManageKeywordsDialog",784,10,1 333,1,1 121,6,1
"org.jabref.gui.edit.ManageKeywordsDisplayType",0,0,0,2,1 122,0,1
"org.jabref.gui.edit.ManageKeywordsViewModel",784,9,1 333,2,1 121,6,1
"org.jabref.gui.edit.MassSetFieldsAction",784,6,1 333,1,1 121,4,1
"org.jabref.gui.edit.MassSetFieldsDialog",784,12,1 333,1,1 121,8,1
"org.jabref.gui.edit.OpenBrowserAction",784,2,1 333,1,1 121,2,1
"org.jabref.gui.edit.ReplaceStringAction",784,6,1 333,1,1 121,3,1
"org.jabref.gui.edit.ReplaceStringView",784,6,1 333,1,1 121,4,1
"org.jabref.gui.edit.ReplaceStringViewModel",784,9,1 333,2,1 121,6,1
"org.jabref.gui.entryeditor.DeprecatedFieldsTab",784,16,1 333,1,1 121,12,1
"org.jabref.gui.entryeditor.EntryEditor",784,45,1 333,4,1 121,23,3
"org.jabref.gui.entryeditor.EntryEditorPreferences",0,1,5,11,1 122,1,7
"org.jabref.gui.entryeditor.EntryEditorTab",784,2,1 333,10,1 121,2,2
"org.jabref.gui.entryeditor.FieldsEditorTab",784,17,1 333,6,1 121,12,1
"org.jabref.gui.entryeditor.LatexCitationsTab",784,12,1 333,1,1 121,9,1
"org.jabref.gui.entryeditor.LatexCitationsTabViewModel",784,17,1 333,1,1 121,11,1
"org.jabref.gui.entryeditor.LatexCitationsTabViewModel.Status",0,0,0,2,1 122,0,1
"org.jabref.gui.entryeditor.MathSciNetTab",784,5,1 333,1,1 121,5,1
"org.jabref.gui.entryeditor.OpenEntryEditorAction",784,5,1 333,1,1 121,2,1
"org.jabref.gui.entryeditor.OptionalFields2Tab",784,11,1 333,1,1 121,10,1
"org.jabref.gui.entryeditor.OptionalFieldsTab",784,11,1 333,1,1 121,10,1
"org.jabref.gui.entryeditor.OptionalFieldsTabBase",784,16,1 333,2,1 121,12,1
"org.jabref.gui.entryeditor.OtherFieldsTab",784,18,1 333,1,1 121,12,1
"org.jabref.gui.entryeditor.PreviewSwitchAction",784,7,1 333,1,1 121,3,1
"org.jabref.gui.entryeditor.PreviewSwitchAction.Direction",0,0,0,2,1 122,0,2
"org.jabref.gui.entryeditor.PreviewTab",784,12,1 333,1,1 121,9,1
"org.jabref.gui.entryeditor.RelatedArticlesTab",784,17,1 333,1,1 121,12,1
"org.jabref.gui.entryeditor.RequiredFieldsTab",784,18,1 333,1,1 121,12,1
"org.jabref.gui.entryeditor.SourceTab",784,34,1 333,3,1 121,18,1
"org.jabref.gui.entryeditor.SourceTab.EditAction",784,3,1 333,1,1 121,2,1
"org.jabref.gui.entryeditor.SourceTab.InputMethodRequestsObject",0,0,0,1,1 122,0,1
